name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
VLASIC,Torino,TOR,C,"81,3","91,7",75-89,74-111,1,92,"6,89",,5687,"8771,93",0,0,0,"6,03","6,66","9736,84",0,0,0,0,0,0,T,60,70,0,Semi-Top,Semi-Top,0,"Il cervello offensivo. Trequartista/mezzala di classe, tecnico e decisivo. Ama inventare, calciare da fuori e arrivare in zona gol. È uno dei giocatori più importanti, oltre che essere il rigorista.",0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,11
MCKENNIE,Juventus,JUV,C,"59,2","47,6",54-66,39-58,3,82,"6,75",,4973,"8596,49","6,03","6,356","6947,37","6,13","6,68","8947,37",0,0,0,0,0,0,B,0,0,0,OttimoTit,OttimoTit,0,"Altro giocatore spesso sottovalutato all'asta, che però poi riesce sempre a ritagliarsi il suo spazio e a portare bonus. Spalletti ha saputo utilizzarlo al meglio e all'asta di riparazione di gennaio è stato uno dei pezzi pregiati. ",0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-11
CONTINI,Napoli,NAP,P,"1,9",1,2-3,1-2,3,10,"5,34",,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"57,6", ,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
ISAKSEN,Lazio,LAZ,C,"25,9","35,2",21-32,27-44,3,90,"6,53",,6398,"7631,58",0,0,0,"6,04","6,63","7105,26",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"0,2", ,0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,9
KABA,Lecce,LEC,C,"1,9",1,2-3,1-2,8,56,"6,02",,6410,"3947,37",0,0,0,"5,77","5,73","2894,74",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"98,7", ,0,6,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,-1
YILDIZ,Juventus,JUV,A,"209,3","226,2",194-226,204-249,1,92,"7,16",,6434,"7894,74",0,0,0,"6,39","7,3","9210,53",0,0,0,0,0,0,T,30,50,0,Semi-Top,Semi-Top,0,"È il numero 10 dei bianconeri, l'uomo da cui ripartire per provare a raggiungere gli obiettivi a cui ambisce la società. Tecnica di alto livello e superiore a tutta la rosa della Juventus. La passata stagione ha segnato 10 gol e fornito 6 assist. Numeri importanti.",0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,17
PRATI,Cagliari,CAG,C,"2,5",1,2-4,1-2,8,64,"5,99",,6424,"5964,91",0,0,0,"5,88","5,88","8421,05",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"95,6", ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
KRSTOVIC,Atalanta,ATA,A,"99,9","139,2",88-113,119-161,2,80,"7,1",,6435,"8947,37",0,0,0,"6,16","7,19","8421,05",0,0,0,0,0,0,P,20,0,0,Semi-Top,Semi-Top,0,"È ballottaggio aperto tra lui e Scamacca, ma crediamo che l'attaccante italiano se è in forma possa essere l'attaccante titolare. Krstovic avrà comunque tantissimo spazio, anche perché Scamacca a causa dei numerosi guai fisici non assicura la presenza in maniera continua. Anche da subentrante può portarvi diversi bonus. Alle giuste cifre può essere un affare.",0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,39
OKOYE,Udinese,UDI,P,"40,9","27,8",35-47,21-35,2,91,"5,01",,6462,"6666,67",0,0,0,"6,07","5,08","7894,74",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"0,6", ,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-13
KRISTENSEN T.,Atalanta,ATA,D,"22,5","20,4",19-27,16-26,3,90,"6,16",,6485,"6578,95",0,0,0,"5,98","6,23","7368,42",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"20,1", ,0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
