name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
GHILARDI,Roma,ROM,D,"2,4",1,2-3,1-2,8,52,"5,94",,6631,0,0,0,0,"5,98","5,95","5526,32",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"75,6","È cresciuto tanto dopo un primo periodo non all'altezza. Ora che venga utilizzato dal primo minuto o come rincalzo, assicura serenità alla retroguardia giallorossa. Se prendere N'Dicka o Mancini allora prendete anche lui.",0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
VALENTI,Parma,PAR,D,3,"10,2",2-5,8-13,6,92,"6,07",,5307,0,0,0,0,"5,96","5,83","7105,26",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"54,1", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,7
VIGORITO,Como,COM,P,"1,9",1,2-3,1-2,3,10,"5,2",,2809,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"45,9", ,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
CORVI,Parma,PAR,P,"6,4","34,1",4-10,26-43,2,90,"5,03",,6662,0,0,0,0,"6,18","5,09","4473,68",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"13,7","Cuesta sembra aver deciso che sarà lui il nuovo titolare per la porta del Parma. Lo scorso anno si è comportato bene quando è stato chiamato in causa. Come terzo slot a pochissimi crediti può essere un buon acquisto, dato che il Parma punta molto sulla fase difensiva.",0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,28
DOVBYK,Bologna,BOL,A,"128,4","97,1",115-143,83-112,2,87,"6,8",,6675,0,0,0,0,6,"6,77","3421,05",0,0,0,0,0,0,B,20,0,0,OttimoTit,OttimoTit,0,"Crediamo che in un sistema votato all'attacco e con giocatori di qualità a orbitargli intorno, Dovbyk possa fare una buona stagione. In alcune aste sarà pagato poco a causa dell'ultima stagione deludente, in altre verrà pagato di più perché punteranno sul suo riscatto. La verità potrebbe stare nel mezzo. Buon terzo slot.",0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-31
ZERBIN,Frosinone,FRO,C,"3,2",1,3-5,1-2,8,88,"6,08",,5998,"5526,32",0,0,0,"5,76","5,79","7631,58",0,0,0,0,0,0,B,0,0,0,TitLowCost,TitLowCost,"50,7", ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
KARLSTROM,Udinese,UDI,C,"3,9",1,3-6,1-2,8,92,"6,16",,6680,0,0,0,0,"5,96","5,96","9473,68",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"15,9", ,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
LIBERALI,Como,COM,C,"15,3","16,1",12-19,13-21,5,76,"6,57",,6678,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"1,5","Il fantasista scuola Milan ha deciso di accasarsi al Como. Sono state tante le squadre a corteggiarlo, ma ha voluto giocare per Fabregas. L'allenatore spagnolo crede molto in lui e gli ha assicurato che avrà il suo spazio.",0,9,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,1
PISILLI,Roma,ROM,C,"7,7","19,1",6-11,15-24,5,80,"6,55",,6190,0,0,0,0,"6,09","6,48","5789,47",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"10,4","Giovane di prospettiva. Dinamico, tecnico e con buon senso della posizione. Può giocare da mezzala o mediano e porta freschezza e qualità. Sta diventando sempre di più una certezza.",0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,11
EKKELENKAMP,Udinese,UDI,C,"40,7","28,1",37-46,22-36,3,92,"6,49",,6684,0,0,0,0,"6,05","6,61","8157,89",0,0,0,0,0,0,T,0,40,0,OttimoTit,OttimoTit,0,"Mezzala dinamica e completa. Inserisce, recupera e contribuisce in entrambe le fasi. Ha buon senso del gol e qualità tecnica. Ottimo terzo/quarto slot.",0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-13
DE GEA,Fiorentina,FIO,P,83,"54,5",75-92,41-69,1,91,"5,19",,2521,0,0,0,0,"6,24",5,"9736,84",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,Sarà ancora lui il titolare della Fiorentina tra i pali. Come tutta la squadra vorrà riscattare la brutta stagione passata. È uno dei leader e crediamo che darà tutto per far tornare la Fiorentina dove merita.,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-28
MARIANUCCI,Napoli,NAP,D,"2,1",1,2-3,1-2,8,51,"5,97",,6809,0,0,0,0,"5,73","5,73","2894,74",0,0,0,0,0,0,P,0,0,1,Riserva,Riserva,"95,3", ,0,4,0, , ,TRUE,FALSE,,2026-08-20T09:36:19.000Z,-1
ALMQVIST,Parma,PAR,C,"2,5",1,2-4,1-2,8,60,"6,08",,6207,"5701,75",0,0,0,"5,94","6,06","2368,42",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"66,3", ,0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
COULIBALY L.,Lecce,LEC,C,"3,4",1,3-5,1-2,8,92,"6,19",,5504,"8508,77","5,916","5,982","8578,95","6,05","6,29","8684,21",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,27,"Uomo imprescindibile per il centrocampo di Di Francesco. Da ultimo slot a un credito per essere sicuri di avere non rimanere in 10, soprattutto in leghe numerose può avere senso come acquisto.",0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
TORRIANI,Milan,MIL,P,"1,8",1,2-3,1-2,3,20,"5,4",,6813,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"23,2", ,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
PINAMONTI,Sassuolo,SAS,A,"76,8","14,5",65-90,11-19,5,60,"6,64",,2038,"9385,96","5,916","6,654","9210,53","5,88","6,62","8947,37",0,0,0,0,0,0,P,20,0,0,Riserva,Riserva,0,"Non il migliore dei bomber, ma i suoi gol a fine anno li porta sempre. Come terzo slot è perfetto.",0,10,0, , ,FALSE,FALSE,Ha chiesto la cessione,2026-08-20T09:36:19.000Z,-62
BRESCIANINI,Fiorentina,FIO,C,"2,4",1,2-3,1-2,8,52,"6,06",,4947,"6666,67",0,0,0,"5,97","6,31","4736,84",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"82,9", ,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
FADERA,Como,COM,C,2,1,2-3,1-2,8,52,"6,1",,6815,0,0,0,0,"5,92","6,15","6315,79",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,98, ,0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
NORTON-CUFFY,Genoa,GEN,D,"26,2","20,3",23-30,16-26,4,84,"6,2",,6814,0,0,0,0,"5,93","6,09","7105,26",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"0,6", ,0,5,0, , ,FALSE,FALSE,"De Rossi lo ha centellinato nelle amichevoli ""causa mercato"" e il Genoa sta chiudendo per Van Der Brempt",2026-08-20T09:36:19.000Z,-6
DIA,Lazio,LAZ,A,"13,4",1,9-19,1-2,6,60,"6,38",,5672,"6754,39",0,0,0,"5,68","5,86","6578,95",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"1,5", ,0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-12
FOFANA Y.,Milan,MIL,C,"2,8",1,2-4,1-2,8,52,"6,24",,4686,0,0,0,0,"5,85","6,06","8684,21",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"78,7", ,0,6,0, , ,FALSE,FALSE,Fuori piano,2026-08-20T09:36:19.000Z,-2
EKHATOR,Juventus,JUV,A,"3,4",1,3-5,1-2,6,59,"6,4",,6822,0,0,0,0,"5,96","6,28","6578,95",0,0,0,0,0,0,P,0,0,1,Riserva,Riserva,"22,3", ,0,11,0, , ,TRUE,FALSE,,2026-08-20T09:36:19.000Z,-2
NERES,Napoli,NAP,A,"27,4","39,8",21-34,30-50,4,73,"6,65",,6831,0,0,0,0,"6,19","6,84","4210,53",0,0,0,0,0,0,P,0,0,1,Jolly,Jolly,0,"Se sta bene ha già fatto vedere quello di cui è capace e di come può trascinare i fantallenatori coi suoi bonus. Giocatore forte, per il quale però non dovrete spendere cifre troppo alte sia per il rischio infortuni sia per la forte concorrenza nel ruolo.",0,9,0, , ,TRUE,FALSE,,2026-08-20T09:36:19.000Z,13
TURATI,Sassuolo,SAS,P,2,1,2-3,1-2,3,20,"4,57",,4867,"5877,19",0,0,0,"6,17",5,"1578,95",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"64,5", ,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
PEDERSEN,Torino,TOR,D,"13,6","16,8",11-17,13-21,4,86,"6,16",,6426,"6491,23",0,0,0,"5,84","5,96","7368,42",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"2,2", ,0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,3
PAZ N.,Como,COM,C,"186,9","184,1",176-199,157-212,1,92,"7,3",,6875,0,0,0,0,"6,37","7,3","9210,53",0,0,0,0,0,0,T,10,70,0,Top,Top,0,"Nulla da dire. Top di reparto, va preso e pagato anche tanto senza rimorsi. 35 presenze, 12 gol e 6 assist nella passata stagione. Numeri che parlano da soli.",0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
PERRONE,Como,COM,C,"23,9","22,4",20-29,17-28,4,92,"6,44",,6151,0,0,0,0,"6,22","6,47","9473,68",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,0,"Giocatore imprescindibile anche lui per Fabregas. 36 presenze, 3 gol e 4 assist nella passata stagione. Per la posizione che ricopre in campo al fantacalcio non va strapagato. È comunque un ottimo acquisto, il terzo slot perfetto per il tuo centrocampo.",0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
CONCEICAO,Juventus,JUV,C,"71,8","79,8",65-80,64-96,2,86,"6,89",,6884,0,0,0,0,"6,28","6,7","7894,74",0,0,0,0,0,0,B,0,0,0,OttimoTit,OttimoTit,0,"Avesse più continuità in zona bonus sarebbe un top di reparto. Per un attaccante esterno, 3 gol e 5 assist non sono il massimo. Però crediamo che facendo tutta la preparazione con Spalletti le cose potrebbero cambiare in meglio anche per lui. Listato centrocampista è comunque ottimo.",0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,8
JEAN,Lecce,LEC,D,1,1,1-1,1-2,8,52,"5,93",,6883,0,0,0,0,"5,8","5,7","1315,79",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"99,3", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,0
DOMINGUEZ B.,Sassuolo,SAS,C,"3,2",1,3-5,1-2,7,78,"6,37",,6895,0,0,0,0,"5,83","6,04","3157,89",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"56,7", ,0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
KOSSOUNOU,Atalanta,ATA,D,"2,6",1,2-4,1-2,8,52,"5,99",,5578,0,0,0,0,"5,94","6,09","4210,53",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"74,7", ,0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
ANJORIN,Torino,TOR,C,"1,9",1,2-3,1-2,8,74,"6,24",,6889,0,0,0,0,"5,78","5,72","2368,42",0,0,0,0,0,0,P,0,0,0,Jolly,Jolly,"96,7", ,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
KEMPF,Como,COM,D,"9,9","6,5",8-13,5-9,7,76,"6,16",,6893,0,0,0,0,"6,12","6,52","7631,58",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"6,8","Difensore importantissimo sia per il Como che per noi fantallenatori. 34 presenze, 4 gol, 1 assist. È però arrivato Chalobah e questo per lui significa che non avrà più il posto da titolare assicurato.",0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
MCTOMINAY,Napoli,NAP,C,"172,5","170,9",163-183,146-197,1,92,"7,21",,4777,0,0,0,0,"6,39","7,26","8684,21",0,0,0,0,0,0,T,0,0,0,Top,Top,0,"McTominay con Allegri potrebbe fare un ulteriore salto di qualità. Infatti l'allenatore concede tanta libertà d'interpretazione ai suoi giocatori di maggiore qualità. Il paragone con Rabiot non è sbagliato, anche se McTominay ha ancora più propensione al bonus. Anche quest'anno sarà un top di reparto.",0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
GILMOUR,Napoli,NAP,C,2,1,2-3,1-2,8,56,"6,06",,5131,0,0,0,0,"6,08","6,27","3421,05",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"93,8", ,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
KEITA M.,Parma,PAR,C,"3,5",1,3-5,1-2,8,92,"6,12",,6898,0,0,0,0,"6,01","6,06","9473,68",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"26,1","È un mediano box-to-box di grande intensità. Eccelle nei recuperi, nei contrasti e nelle intercettazioni, ma sa anche portare palla in avanti e coprire tanto campo. I bonus però non sono il suo pane quotidiano, quindi potete prenderlo come sesto/settimo slot per assicurarvi un titolare.",0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
ATTA,Fiorentina,FIO,C,"98,7","91,1",92-106,73-110,1,92,"6,89",,6908,0,0,0,0,"6,36","6,88","8421,05",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,Sarà la mezzala sinistra titolare di questa Fiorentina e le sue caratteristiche sono perfetto per Grosso. Tempi di inserimento perfetti e grande visione di gioco. Sarà uno dei pezzi pregiati dell'asta di quest'anno.,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-8
VAN DER BREMPT,Como,COM,D,"2,4",1,2-3,1-2,8,52,"5,94",,6896,0,0,0,0,"5,96","5,96","3684,21",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"83,4", ,0,2,0, , ,FALSE,FALSE,Vicinissmo al Genoa,2026-08-20T09:36:19.000Z,-1
BERISHA M.,Lecce,LEC,C,5,"5,9",4-7,5-8,7,90,"6,31",,6015,0,0,0,0,"6,17","6,92","3157,89",0,0,0,0,0,0,T,10,30,0,TitLowCost,TitLowCost,"21,5",Purtroppo nella passata stagione ha avuto un brutto infortunio che lo ha tenuto a lungo ai box. Quando sarà disponibile allora diventerà una pedina importante per Di Francesco. Si può prendere come ultimo slot da scommessa e attendere che torni in forma al 100%.,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,1
BASIC,Venezia,VEN,C,6,1,5-8,1-2,8,92,"6,08",,5674,0,0,0,0,"6,09","6,43","6052,63",0,0,0,0,0,0,T,0,20,0,TitLowCost,TitLowCost,"7,9", ,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-5
BARTESAGHI,Milan,MIL,D,"26,9","26,5",24-31,20-34,3,76,"6,33",,6496,"3245,61",0,0,0,"5,97","6,05","8157,89",0,0,0,0,0,0,P,0,10,0,OttimoTit,OttimoTit,0, ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,0
HAINAUT,Venezia,VEN,D,"3,6","2,6",3-5,2-4,8,88,"6,04",,6821,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,TitLowCost,TitLowCost,"31,7", ,0,5,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,-1
NJIE,Torino,TOR,C,3,1,3-4,1-2,8,60,"6,1",,6827,0,0,0,0,"5,8","6,15","2631,58",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"90,5", ,0,10,0, , ,FALSE,FALSE,Offerte dall'estero,2026-08-20T09:36:19.000Z,-2
AHANOR,Atalanta,ATA,D,5,1,4-7,1-2,8,60,"6,03",,6916,0,0,0,0,"5,79","5,69","5526,32",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"23,5","La scorsa stagione non ha giocato con continuità e non sappiamo se Sarri punterà su di lui quest'anno. Il ragazzo ha qualità, ma Sarri una volta deciso il suo 11 titolare difficilmente lo cambia.",0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-4
JIMENEZ A.,Fiorentina,FIO,D,"37,6","36,6",33-43,28-46,2,92,"6,26",,6531,"2017,54",0,0,0,"5,5",5,"263,16",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Potrebbe essere un acquisto davvero molto interessante, dato che Grosso lo vede anche come esterno d'attacco. Un suo difetto è sicuramente il carattere fumoso, che lo porta a rischiare spesso di prendere il giallo, ma ha grande qualità e un anno di Premier League lo ha fatto crescere.",0,2,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,-1
DIAO,Como,COM,A,"57,3","60,1",49-66,49-73,3,92,"6,55",,6967,0,0,0,0,6,"6,38","4210,53",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,0,"La passata stagione è stato a lungo out a causa dell'infortunio. Solo 17 presenze per lui e tante a partita in corso. Ma ora è pronto e può essere un giocatore importante, anche in virtù del fatto che il Como giocherà la Champions e ci sarà bisogno di rotazioni. Può essere impiegato sia come esterno d'attacco che come falso nueve.",0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,3
SOLET,Udinese,UDI,D,53,"47,5",48-59,36-60,2,92,"6,34",,6956,0,0,0,0,"6,18","6,4","8947,37",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Il centrale più importante e di maggior valore della rosa dell'Udinese. Fisico, aggressivo e abile nei duelli aerei e negli anticipi. Porta solidità, intensità e personalità alla difesa a tre. Forte anche in progressione palla al piede e sugli sviluppi da palla inattiva.",0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-5
BUTEZ,Como,COM,P,"98,1","80,2",90-107,65-97,1,91,"5,43",,6966,0,0,0,0,"6,07","5,37",10000,0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Nonostante il gioco ultra offensivo di Fabregas la difesa non ne ha risentito, anzi è stata una delle meno battute. Butez si è dimostrato un portiere di alto livello e all'asta va considerato come un Top/Semitop.",0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-18
CAQUERET,Como,COM,C,"3,6",1,3-5,1-2,8,80,"6,3",,5036,0,0,0,0,"6,11","6,41","7368,42",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"35,4",Quest'anno con il fatto che il Como giocherà la Champions potrebbe avere più spazio. Giocatore di grande qualità che qualche bonus lo porta. Come quinto/sesto slot a cifre modiche può essere un buon acquisto.,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
HELGASON,Venezia,VEN,C,"1,8",1,2-3,1-2,8,75,"5,97",,5872,0,0,0,0,"5,62","5,62","1052,63",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"96,9", ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
MASINI,Frosinone,FRO,C,3,1,3-4,1-2,8,80,"5,92",,6917,0,0,0,0,"5,98","5,9","5526,32",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"88,2", ,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
RENSCH,Roma,ROM,D,"6,4",1,5-9,1-2,8,64,"5,99",,6986,0,0,0,0,"6,16","6,5",5000,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"16,6", ,0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-5
OTOA,Genoa,GEN,D,"2,2",1,3-3,1-2,8,64,"5,91",,6977,0,0,0,0,"5,6","5,35","2631,58",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"92,9", ,0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
VEIGA D.,Lecce,LEC,D,"3,5","2,5",3-5,2-4,8,92,"6,01",,6990,0,0,0,0,"5,82","5,69","9473,68",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"28,8", ,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
TIAGO GABRIEL,Lecce,LEC,D,14,"7,6",12-17,6-10,6,92,"6,05",,6989,0,0,0,0,6,"6,01","9473,68",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"0,6","Giocatore davvero molto forte, cercato da tanti club italiani e stranieri. Può essere il vostro secondo/terzo slot perfetto, soprattutto se utilizzate il modificatore.",0,4,0, , ,FALSE,FALSE,Offerte dall'estero ed interesse dal Milan,2026-08-20T09:36:19.000Z,-6
GIMENEZ,Milan,MIL,A,"3,9",1,3-6,1-2,6,52,"6,65",,7008,0,0,0,0,"5,5","5,53","3947,37",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"38,5", ,0,11,0, , ,FALSE,FALSE,Fuori piano,2026-08-20T09:36:19.000Z,-3
CASADEI,Torino,TOR,C,"27,8","25,2",24-33,19-32,4,90,"6,49",,5888,0,0,0,0,"5,97","6,45","8421,05",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,0, ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
N'DRI,Lecce,LEC,A,"4,8","5,2",4-7,4-7,5,92,"6,18",,7001,0,0,0,0,"5,82","6,09","4473,68",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"9,5", ,0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,0
VALLE,Como,COM,D,"8,7","15,3",7-12,12-20,5,86,"6,15",,6867,0,0,0,0,"6,06","6,23","6842,11",0,0,0,0,0,0,B,0,0,0,OttimoTit,OttimoTit,"7,5","Quest'anno avrà un competitor importante nella sua posizione, ovvero Kaiki. Non crediamo vi assicuri titolarità certa. Occhio.",0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,6
SMOLCIC I.,Como,COM,D,"3,2",1,3-5,1-2,8,60,"5,94",,7014,0,0,0,0,"5,96","5,84","6578,95",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"55,6", ,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
PROVSTGAARD,Lazio,LAZ,D,3,"16,6",3-4,13-21,5,88,"6,14",,7012,0,0,0,0,"5,91","5,85","6052,63",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"59,8", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,14
PELLEGRINO M.,Fiorentina,FIO,A,"69,4","48,7",59-81,39-59,3,80,"6,63",,7023,0,0,0,0,"5,99","6,65","9736,84",0,0,0,0,0,0,P,0,0,0,OttimoTit,OttimoTit,"19,9", ,0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-20
KELLY L.,Juventus,JUV,D,"12,1","12,1",10-16,10-16,6,80,"6,17",,6766,0,0,0,0,"6,01","6,07","9210,53",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"4,2", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,0
AZON,Como,COM,A,"1,9",1,2-3,1-2,6,52,"6,56",,7027,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,90, ,0,11,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,-1
NDOUR,Fiorentina,FIO,C,"16,2",16,13-20,12-20,5,84,"6,46",,6294,0,0,0,0,"5,8","6,07","7894,74",0,0,0,0,0,0,B,0,0,0,TitLowCost,TitLowCost,0, ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,0
DOUVIKAS,Como,COM,A,175,"197,3",159-192,178-218,1,92,"7,04",,7017,0,0,0,0,"6,18","7,38","9473,68",0,0,0,0,0,0,T,20,0,0,Semi-Top,Semi-Top,0,"Arriva da una stagione davvero super. Il prezzo salirà all'asta. Il Como crea tanto e lui sa finalizzare. Anche se non dovesse essere sempre titolare per via della doppia competizione, rimane un ottimo acquisto.",0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,22
HERMOSO,Roma,ROM,D,21,"19,6",18-25,15-25,4,88,"6,17",,4807,0,0,0,0,"6,17","6,41","7105,26",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"0,2","Centrale o braccetto sinistro. Elegante con i piedi, bravo a impostare e a giocare in anticipo. Porta qualità nella costruzione dal basso.",0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
RUGANI,Juventus,JUV,D,2,1,2-3,1-2,8,52,"5,96",,294,0,0,0,0,"5,69","5,56","2105,26",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"96,2", ,0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
EBOSSE,Udinese,UDI,D,"2,3",1,2-3,1-2,8,52,"5,87",,5994,0,0,0,0,"5,75","5,72","4210,53",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,88, ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
VENTURINO,Genoa,GEN,C,"2,6",1,3-4,1-2,8,58,"6,07",,6980,0,0,0,0,"5,86","5,86","1842,11",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"95,6", ,0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
DAVID,Juventus,JUV,A,"14,9",43,10-20,33-54,4,68,"6,77",,5544,0,0,0,0,"5,77","6,33","7894,74",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"0,6", ,0,11,0, , ,FALSE,FALSE,Sul mercato,2026-08-20T09:36:19.000Z,28
DE BRUYNE,Napoli,NAP,C,83,"104,3",75-92,89-120,1,88,"7,06",,2517,0,0,0,0,"6,26","7,24","4473,68",0,0,0,0,0,0,T,70,70,0,Top,Top,0, ,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,21
LANG,Napoli,NAP,A,3,1,3-4,1-2,6,52,"6,47",,7120,0,0,0,0,"6,04","6,32","3684,21",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"42,8", ,0,11,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,-2
BERARDI,Sassuolo,SAS,A,"117,5","153,8",106-130,131-177,1,90,"6,94",,531,0,0,0,0,"6,31","7,19","6842,11",0,0,0,0,0,0,T,70,70,0,Semi-Top,Semi-Top,0,"Il capitano e la stella. Esterno/trequartista di classe, tecnicamente raffinato, visionario e decisivo. Ama accentrarsi, inventare, calciare e creare. Ancora il giocatore più importante e carismatico della squadra. Se sta bene è un secondo slot perfetto, anche perché è il rigorista.",0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,36
